Category	Percentage_of_samples	Patch_color_1	Patch_color_2	Patch_color_3
Non-Small Cell Lung Cancer	0.205243752560426	0.662745098039216	0.533333333333333	0.745098039215686
Breast Cancer	0.174256452273658	0.980392156862745	0.623529411764706	0.709803921568627
Colorectal Cancer	0.129635395329783	0.67843137254902	0.83921568627451	0.945098039215686
Glioma	0.062548136009832	0.596078431372549	0	0.262745098039216
Melanoma	0.0523555919705039	0.917647058823529	0.776470588235294	0
Prostate Cancer	0.0489635395329783	0.811764705882353	0.333333333333333	0.356862745098039
Ovarian Cancer	0.0480622695616551	0.996078431372549	0.6	0.16078431372549
Pancreatic Cancer	0.0461777959852519	0.450980392156863	0.482352941176471	0.647058823529412
Endometrial Cancer	0.03975419909873	0.925490196078431	0.43921568627451	0.0784313725490196
Cancer of Unknown Primary	0.0378369520688243	0	0	0
Esophagogastric Cancer	0.0340352314625154	0.541176470588235	0.698039215686274	0.831372549019608
Bladder Cancer	0.0291519868906186	0.929411764705882	0.47843137254902	0.501960784313725
Hepatobiliary Cancer	0.0263006964358869	0.717647058823529	0.831372549019608	0.596078431372549
Renal Cell Carcinoma	0.0246128635804998	0.741176470588235	0.0745098039215686	0.125490196078431
Head and Neck Cancer	0.0215977058582548	0.345098039215686	0.650980392156863	0.407843137254902
Thyroid Cancer	0.0194674313805817	0.980392156862745	0.917647058823529	0.0549019607843137
